product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
1,Тыква,3284.0,821,Овощи,"Отличается высоким содержанием меди, необходимой для синтеза коллагена и эластина.",2017-01-25,2017-01-25,2.69,Sold
2,"Специи (перец, куркума, зира)",1129.0,437,Бакалея,Помогает поддерживать нормальный уровень холестерина в крови.,2000-01-03,2000-01-03,4.7,Awaiting Review
3,Каша из дробленного риса,372.0,706,Бакалея,Помогает сохранять бодрость и активность в течение дня.,2013-02-08,2013-02-08,3.27,Returned
4,Утиная печень,5664.0,994,Мясо,Прошел сертификацию на соответствие требованиям органических стандартов.,2011-03-09,2011-03-09,2.15,In Stock
5,Vittel,4088.0,863,Напитки,"Отличается низким содержанием натрия, что делает его безопасным для гипертоников.",2020-04-18,2020-04-18,4.67,New
6,Доски разделочные,1897.0,5,Товары для дома,"Популярен среди спортсменов и людей, ведущих активный образ жизни.",2019-03-14,2019-03-14,0.36,Refunded
7,Картофель,4277.0,427,Овощи,"Отличается приятным ароматом, который усиливает аппетит.",2030-03-11,2030-03-11,2.09,Out of Stock
8,Консервы мясные,5368.0,252,Мясо,Способствует снижению уровня стресса и улучшению настроения.,2028-02-07,2028-02-07,1.89,In Stock
9,Черешня,1016.0,166,Фрукты,Отличается стабильностью вкуса и качества в течение всего срока хранения.,2023-03-04,2023-03-04,2.77,Shipping
10,Мука ржаная,5700.0,850,Бакалея,Способствует поддержанию нормальной микрофлоры кишечника.,2019-02-20,2019-02-20,1.07,Pending
11,Комсомольская,8738.0,833,Напитки,"Отличается высоким содержанием антиоксидантов, защищающих клетки от окислительного стресса.",2022-01-04,2022-01-04,3.99,Awaiting Review
12,Укроп сушеный,832.0,256,Бакалея,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2012-02-14,2012-02-14,3.41,Awaiting Payment
13,Блины с мясом,2685.0,243,Мясо,"Помогает поддерживать здоровую кожу, волосы и ногти благодаря содержанию биотина.",2015-01-04,2015-01-04,1.74,In Stock
14,Расческа,3586.0,156,Товары для дома,"Помогает поддерживать нормальный уровень серотонина, гормона счастья.",2030-05-01,2030-05-01,2.13,Backorder
15,Фенхель,4234.0,230,Овощи,"Обладает приятным вкусом и мягкой текстурой, что делает его популярным выбором среди потребителей.",2027-02-17,2027-02-17,0.52,Shipping
16,Тарелки мелкие,8535.0,993,Товары для дома,"Не содержит консервантов и красителей, что делает его экологически чистым продуктом.",2024-01-20,2024-01-20,2.71,Refunded
17,Чизбургеры,7355.0,753,Мясо,Высокое содержание белка обеспечивает длительное чувство сытости и способствует поддержанию мышечной массы.,2019-04-03,2019-04-03,0.12,Awaiting Review
18,Бекон,2755.0,142,Мясо,"Помогает поддерживать нормальный уровень цистеина, аминокислоты, участвующей в синтезе глутатиона.",2030-03-18,2030-03-18,4.7,Shipping
19,Пакеты для ярмарки,241.0,350,Товары для дома,Помогает предотвратить развитие остеопороза благодаря высокому содержанию кальция.,2029-01-06,2029-01-06,1.02,New
20,Пятновыводитель,1898.0,305,Товары для дома,Является важным компонентом рациона для поддержания гормонального баланса.,2025-03-10,2025-03-10,0.96,Cancelled
21,Мыло жидкое,7838.0,393,Товары для дома,"Помогает поддерживать нормальный уровень сапонинов, веществ, способствующих снижению уровня холестерина.",2029-02-07,2029-02-07,0.02,On Backorder
22,Плечо,5743.0,207,Мясо,"Помогает поддерживать нормальный уровень дофамина, гормона, отвечающего за мотивацию и удовольствие.",2029-10-11,2029-10-11,3.83,Temporarily Unavailable
23,Копчености,7917.0,799,Мясо,Помогает поддерживать нормальный уровень триглицеридов в крови.,2024-03-15,2024-03-15,0.26,Awaiting Review
24,Косулятина,6229.0,666,Мясо,Помогает поддерживать нормальный уровень гемоглобина в крови.,2021-01-01,2021-01-01,3.38,Sold
25,Киноа,9184.0,638,Бакалея,Помогает поддерживать нормальный уровень артериального давления.,2017-06-14,2017-06-14,3.05,Pending
26,Яблоко,8137.0,6,Фрукты,Может использоваться в косметических процедурах для увлажнения кожи.,2001-03-03,2001-03-03,4.67,Sold
27,Киви,5729.0,278,Фрукты,Подходит для использования в диетических программах для похудения.,2014-09-01,2014-09-01,0.97,Delivered
28,Голландский сыр,8601.0,260,Молочные продукты,Отличается способностью повышать общий тонус и работоспособность.,2014-02-01,2014-02-01,1.48,Returned
29,Российский сыр,3632.0,94,Молочные продукты,"Помогает поддерживать нормальный уровень серотонина, гормона счастья.",1997-10-01,1997-10-01,2.42,Shipping
30,Московская,9471.0,141,Напитки,"Отличается высоким содержанием калия, необходимого для нормальной работы сердца.",2024-12-01,2024-12-01,4.64,On Backorder
31,Брокколи,2349.0,549,Овощи,"Помогает поддерживать нормальный уровень танинов, веществ, обладающих вяжущими и антисептическими свойствами.",2030-01-03,2030-01-03,3.3,Cancelled
32,Папайя,8802.0,938,Фрукты,"Обеспечивает организм необходимыми жирами, белками и углеводами.",2016-01-05,2016-01-05,2.06,Sold
33,Кондиционер для волос,3999.0,872,Товары для дома,Отличается стабильностью вкуса и качества в течение всего срока хранения.,2001-04-01,2001-04-01,4.24,On Backorder
34,Помидор,3758.0,934,Овощи,Придает блюдам особую нежность и насыщенность.,2027-01-05,2027-01-05,2.45,On Backorder
35,Лимон,8682.0,557,Фрукты,Помогает поддерживать нормальный уровень холестерина в крови.,2007-07-04,2007-07-04,0.02,In Stock
36,Грейпфрут,9452.0,353,Фрукты,Помогает укрепить иммунную систему и защитить организм от инфекций.,2028-01-01,2028-01-01,0.71,Refunded
37,Блендер,8906.0,364,Товары для дома,Подходит для использования в качестве замены традиционных молочных продуктов.,2014-07-02,2014-07-02,2.26,On Backorder
38,Ставропольская,9001.0,302,Напитки,"Отличается низким содержанием натрия, что делает его безопасным для гипертоников.",2017-03-02,2017-03-02,2.93,New
39,Спаржа,6039.0,258,Овощи,Помогает поддерживать нормальное функционирование печени и желчного пузыря.,2010-01-01,2010-01-01,4.83,Out of Stock
40,Зубная паста,774.0,509,Товары для дома,Помогает поддерживать оптимальный вес и форму тела.,2028-01-15,2028-01-15,3.82,Backorder
41,Портулак,8773.0,255,Овощи,"Отличается высоким содержанием рутина, флавоноида, укрепляющего сосуды и улучшающего кровообращение.",2015-02-24,2015-02-24,3.88,New
42,Засоленное мясо,8316.0,50,Мясо,Помогает поддерживать нормальное функционирование печени и желчного пузыря.,2000-07-07,2000-07-07,3.49,Awaiting Review
43,Пакет для заморозки,545.0,392,Товары для дома,"Отличается высоким содержанием цинка, необходимого для здоровой иммунной системы.",2029-05-08,2029-05-08,2.4,Temporarily Unavailable
44,Увинская жемчужина,9117.0,67,Напитки,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2022-05-06,2022-05-06,1.7,Shipping
45,Пакеты для спортзала,1009.0,42,Товары для дома,Идеально подходит для употребления в чистом виде или в составе различных блюд и напитков.,2021-03-16,2021-03-16,3.07,Sold
46,Ряженка,7231.0,329,Молочные продукты,Помогает поддерживать нормальный уровень мочевой кислоты в организме.,2010-05-03,2010-05-03,3.79,Awaiting Payment
47,Каша из дробленной перловой крупы,773.0,503,Бакалея,Помогает поддерживать нормальный уровень гемоглобина в крови.,2022-09-14,2022-09-14,1.87,Shipping
48,Смузи шпинатно-банановый,2593.0,243,Напитки,"Помогает поддерживать нормальный уровень цистеина, аминокислоты, участвующей в синтезе глутатиона.",1991-02-01,1991-02-01,1.67,In Stock
49,Квас хлебный,5222.0,584,Напитки,Помогает поддерживать нормальную функцию щитовидной железы благодаря содержанию йода.,2029-01-07,2029-01-07,3.57,Cancelled
50,Чебуреки,6759.0,971,Мясо,"Помогает поддерживать нормальный уровень гамма-аминомасляной кислоты (GABA), успокаивающего нейромедиатора.",2011-03-05,2011-03-05,3.94,Awaiting Review
51,Мандарин,749.0,864,Фрукты,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",2023-01-04,2023-01-04,2.34,Delivered
52,Пакеты для Дня защиты детей,4742.0,658,Товары для дома,Прошел клинические испытания и рекомендован специалистами в области здравоохранения.,2003-05-17,2003-05-17,1.5,New
53,Пятновыводитель,7053.0,433,Товары для дома,"Отличается низким содержанием лактозы, что делает его доступным для людей с ее непереносимостью.",2016-02-03,2016-02-03,2.3,Temporarily Unavailable
54,Персик,8279.0,207,Фрукты,"Отличается высоким содержанием витамина K, необходимого для свертывания крови и здоровья костей.",2015-03-09,2015-03-09,0.29,Delivered
55,Эмменталь,9712.0,218,Молочные продукты,Прошел тщательный отбор сырья и контроль на каждом этапе производства.,2013-04-01,2013-04-01,0.88,New
56,Цветная капуста,3053.0,690,Овощи,"Доступен в различных упаковках и форматах, что упрощает выбор подходящего варианта.",2024-08-06,2024-08-06,3.75,Refunded
57,Ленинградская,6752.0,260,Напитки,"Отличается низким содержанием жира, что делает его подходящим для тех, кто следит за фигурой.",2021-07-06,2021-07-06,0.29,Refunded
58,Чай зеленый,1757.0,883,Бакалея,Отличается универсальностью применения в кулинарии и пищевой промышленности.,2028-02-18,2028-02-18,0.12,Sold
59,Копчености,5693.0,918,Мясо,Помогает улучшать качество сна и снижать уровень тревожности.,2021-06-14,2021-06-14,4.18,Temporarily Unavailable
60,Кунжут черный,7033.0,293,Бакалея,Отличается способностью повышать общий тонус и работоспособность.,2012-10-13,2012-10-13,2.15,New
61,Репа,810.0,75,Овощи,Подходит для людей с чувствительным пищеварением.,2014-02-01,2014-02-01,3.17,Out of Stock
62,Шелковица,3983.0,544,Фрукты,Отличается низкой вероятностью возникновения побочных эффектов при употреблении.,1996-08-09,1996-08-09,2.67,Temporarily Unavailable
63,Молоко,6948.0,98,Молочные продукты,"Отличается высоким содержанием ресвератрола, вещества, обладающего антивозрастными свойствами.",2003-06-06,2003-06-06,0.64,In Stock
64,Батат,9649.0,545,Овощи,Подходит для использования в качестве основы для смузи и коктейлей.,2023-07-11,2023-07-11,3.39,Awaiting Payment
65,Репа,4716.0,351,Овощи,Идеален для перекусов между основными приемами пищи.,2004-08-01,2004-08-01,4.86,Awaiting Review
66,Чоризо,5776.0,940,Мясо,"Отличается низким содержанием лактозы, что делает его доступным для людей с ее непереносимостью.",2029-02-01,2029-02-01,4.27,Pending
67,Сметана,9676.0,534,Молочные продукты,"Отличается широким ассортиментом вкусов и форматов, удовлетворяя потребности разных категорий потребителей.",2029-02-28,2029-02-28,4.79,New
68,Шницель,3948.0,624,Мясо,Часто рекомендуется врачами-диетологами как часть здорового питания.,2025-01-01,2025-01-01,4.88,Pending
69,Пакеты для Рождества,6742.0,836,Товары для дома,"Может использоваться как основа для приготовления домашних йогуртов, сыров и других молочных продуктов.",1995-02-07,1995-02-07,2.8,Pending
70,Сливки,6174.0,444,Молочные продукты,"Легко усваивается организмом, обеспечивая быстрое насыщение и энергию.",2019-08-16,2019-08-16,3.37,Pending
71,Укроп,8947.0,351,Овощи,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",2011-05-26,2011-05-26,1.47,New
72,Щавель,7015.0,112,Овощи,"Отличается высоким содержанием ликопина, каротиноида, полезного для здоровья простаты и кожи.",2003-06-03,2003-06-03,2.03,Pending
73,Рулька,1088.0,212,Мясо,"Помогает поддерживать здоровую кожу, волосы и ногти благодаря содержанию биотина.",2030-02-04,2030-02-04,2.5,Available for Pickup
74,Томская,6311.0,773,Напитки,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1998-02-04,1998-02-04,1.26,Available for Pickup
75,Волгодонская,7364.0,375,Напитки,Помогает снизить риск развития сердечно-сосудистых заболеваний.,2024-10-12,2024-10-12,2.66,Backorder
76,Киви,720.0,371,Фрукты,Способствует улучшению работы пищеварительной системы.,2028-05-02,2028-05-02,2.33,New
77,Сырокопченая колбаса,5091.0,972,Мясо,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2018-12-18,2018-12-18,2.26,Backorder
78,Гранат,3450.0,846,Фрукты,"Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина.",2026-02-04,2026-02-04,1.12,Refunded
79,Уральская,1998.0,428,Напитки,"Помогает поддерживать нормальный уровень эндорфинов, гормонов радости и удовольствия.",2001-08-04,2001-08-04,2.12,Cancelled
80,Полотенца кухонные,6097.0,850,Товары для дома,"Помогает поддерживать нормальный уровень норадреналина, гормона, влияющего на настроение и поведение.",2029-08-05,2029-08-05,1.3,Pending
81,Ялтинская,1928.0,506,Напитки,Помогает поддерживать нормальное функционирование печени и желчного пузыря.,2015-08-03,2015-08-03,1.86,Sold
82,Апельсин,9337.0,677,Фрукты,Способствует нормализации обмена веществ в организме.,2005-02-17,2005-02-17,3.53,Sold
83,Пармезан,3247.0,570,Молочные продукты,Прошел строгий контроль качества на всех этапах производства.,2021-01-21,2021-01-21,0.8,Awaiting Payment
84,Шаверма,8546.0,992,Мясо,Отличается хорошей совместимостью с другими продуктами питания.,2015-01-16,2015-01-16,2.75,In Stock
85,Каша из овса,604.0,43,Бакалея,Отличается высоким уровнем биологической доступности питательных веществ.,2011-04-02,2011-04-02,3.31,Pending
86,Пакет для заморозки,3099.0,172,Товары для дома,Отличается высокой питательной ценностью и помогает поддерживать здоровый образ жизни.,2007-02-09,2007-02-09,2.04,Returned
87,Малина,4747.0,960,Фрукты,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",2022-04-07,2022-04-07,3.0,Cancelled
88,Самса,1071.0,259,Мясо,"Помогает поддерживать нормальный уровень мелатонина, гормона сна.",2021-01-08,2021-01-08,1.85,Backorder
89,Ямс,1646.0,740,Овощи,"Отличается высоким содержанием рутина, флавоноида, укрепляющего сосуды и улучшающего кровообращение.",2016-06-01,2016-06-01,2.85,Shipping
90,Огурец,2507.0,683,Овощи,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2015-01-22,2015-01-22,1.39,Returned
91,Капуста белокочанная,2700.0,485,Овощи,"Отличается низким содержанием жира, что делает его подходящим для тех, кто следит за фигурой.",1995-01-01,1995-01-01,3.48,Delivered
92,Мате,9043.0,56,Напитки,Помогает поддерживать нормальный уровень энергии и выносливости.,2024-02-16,2024-02-16,0.5,Pending
93,Реутовская,1185.0,542,Напитки,"Легко усваивается организмом, обеспечивая быстрое насыщение и энергию.",2030-03-01,2030-03-01,4.47,Cancelled
94,Пакеты для офиса,4706.0,133,Товары для дома,Отличается низкой калорийностью и высоким содержанием белка.,2020-02-09,2020-02-09,1.53,Awaiting Review
95,Освежитель воздуха,7202.0,495,Товары для дома,Подходит для использования в рационе людей с повышенным давлением.,2006-02-05,2006-02-05,1.32,Shipping
96,Авокадо,3414.0,116,Фрукты,"Отличается высоким содержанием витамина K, необходимого для свертывания крови и здоровья костей.",2023-02-28,2023-02-28,3.51,On Backorder
97,Сметана,7363.0,494,Молочные продукты,"Обеспечивает организм необходимыми жирами, белками и углеводами.",2025-06-11,2025-06-11,1.78,Shipping
98,Панчетта,973.0,661,Мясо,Помогает поддерживать нормальный уровень глюкозы в крови.,1994-02-01,1994-02-01,0.19,Pending
